track_id,n_frames,path_length,displacement,persistence,mean_speed
0.0,39,389.4951077426726,138.74108831635402,0.3562075249684933,10.24987125638612
1.0,39,196.71232941660216,63.236519302943336,0.32146698425302817,5.17664024780532
2.0,38,251.71251288787028,76.86591895170464,0.3053718628042377,6.803040888861359
4.0,48,733.3650617248041,438.0931150877286,0.5973738564220331,15.603511951591578
6.0,25,202.70196848000865,121.69786504328845,0.600378308883028,8.445915353333694
8.0,24,567.3895747241803,27.839668523029935,0.049066232026845694,24.66911194452958
10.0,10,104.04185840064049,54.55083884374532,0.5243162673400449,11.560206488960056
14.0,15,446.45738323385376,217.98865917791915,0.4882630848188639,31.88981308813241
18.0,10,136.61345101117007,33.7257293556151,0.2468697562793985,15.179272334574453
20.0,18,326.1078556919461,42.320698246995626,0.12977515723194774,19.18281504070271
21.0,25,323.5187602517336,118.46742361958421,0.3661840924693312,13.479948343822235
22.0,15,141.33098155012402,116.85665606245455,0.8268297211323797,10.095070110723144
23.0,25,455.8884824601017,436.29912498638913,0.9570303742529249,18.995353435837572
29.0,15,116.94343415051144,90.96465490668658,0.7778517500145496,8.353102439322246
30.0,11,248.84703103587364,81.51430450231895,0.3275679205936272,24.884703103587363
